,username,location,created,followers,timesRetweeted,text,hashtags
32,TheReal_KDubb,"LA,Houston, NYC, ATL,Tampa",2021-04-29 23:10:55,13970,0,"MLB DFS Picks, Ownership, HRs &amp; Top Stacks for DraftKings &amp; FanDuel Tournaments on Thursday https://t.co/Vkk83BnFGI",[]
33,mattT0M0,"New York, USA",2021-04-29 23:10:55,294,10,I am still looking to get in contact with Black baseball players of any ethnicity/nationality in @MiLB/@MLB in order to continue my Clubhouse Conversations interview series that is featured on @uncultureblog. If anyone that sees this could help I’d really appreciate it.,[]
34,lifestooshort50,,2021-04-29 23:10:54,163,29,I demanded answers today from the FBI as to why the Congressional baseball practice shooting that injured several people including a Capitol Police officer and my friend ⁦@SteveScalise⁩ was classified as suicide by cop instead of domestic terrorism.  https://t.co/lmdUB6B8Uu,[]
35,Bear_Roach_4,Baseball field⚾️,2021-04-29 23:10:53,726,302,"It’s #NFLDraft Day, so you know we had to post about Prime Time. In his return to baseball in ‘01, he had an electric day at the plate. https://t.co/KquGG5lXer","[{'text': 'NFLDraft', 'indices': [19, 28]}]"
36,codylope,"Honolulu, HI",2021-04-29 23:10:53,43,2271,"Anthony Rizzo really struck out Freddie Freeman tonight.

Baseball is the best. https://t.co/0SdtLQz7JZ",[]
37,DreamLanny,"Gulf Shores, AL",2021-04-29 23:10:52,2158,0,"@gracie__gregg The Dream All-American Series (DAAS) is looking to find the best 2022-2025 Baseball, Basketball, Soccer, &amp; Softball players to compete and gain recruiting exposure. If interested, please go to the website to get info and to be nominated.  https://t.co/IPdiX5dIrx https://t.co/3VRelBur0b",[]
38,WhiteSoxGolfer,,2021-04-29 23:10:50,238,0,Here come all the TLR stans acting like this team is winning because of and not in spite of him. He managed another stupid baseball game with a stupid lineup. If it wasnt for a Miggy bobble its entirely possible they lose today because of Hamilton's awful AB in that spot.,[]
39,FZELIONS1,"St Peters, MO",2021-04-29 23:10:49,2128,0,@FZEMrsBono @FZE_Baseball @FZESoccer Could catching up with Mr Bono,[]
40,aikii_imo01,,2021-04-29 23:10:48,137,99,"Shohei Ohtani has finished 20 plate appearances with his splitter this season. The results? Hitters are 0-for-19 ... with 18 strikeouts. 

Baseball's most unhittable pitch is back. STORY ➡️ https://t.co/Re8HHNmISo https://t.co/7pDyILyGkt",[]
41,dtxgus,Somewhere,2021-04-29 23:10:46,394,3,im tryna go to a baseball game,[]
42,TheReal_KDubb,"LA,Houston, NYC, ATL,Tampa",2021-04-29 23:10:46,13970,0,"Fantasy Baseball Picks: Top DraftKings MLB DFS Targets, Values for April 29 https://t.co/owmIlqdOgy",[]
